content_id,author_id,title
1,25,Tenaga Dokter di Nusa Tenggara Timur
2,25,Standarisasi Pornografi & Pornoaksi
3,25,Biaya Operasi untuk Pasien Tidak Mampu
4,28,Pembayaran Gaji Dokter PTT di Maluku Utara
5,25,Pembalakan Liar di Kalimantan Tengah
6,25,Pelayanan & Kebersihan RS Rangkasbitung dan Pandeglang Mengecewakan
7,25,Pencairan Dana Sertifikasi Guru Tidak Pernah Tuntas
8,25,Layanan Balik Nama Sertifikat Tanah BPN Tangerang Lambat
9,25,"Anggaran Normalisasi Sungai Juwana di Pati, Jawa Tengah"
10,25,Jalan Berlubang di Jalan Raya Jakarta-Bogor
11,233,"Permasalahan Pembangunan di Desa Tembongwah, Tegal"
12,2,"Dana Sertifikasi Guru di Tanjungbalai, Sumatera Utara Belum Dibayar"
13,2,Harapan Petani Tebu di Jember Akan Pinjaman Lunak
14,2,Indikasi Pungutan Liar Biaya Pembuatan E-KTP di Bekasi Utara
15,2,"Sering Padam Lampu di Kebun Jeruk, Jakarta"
16,410,Akses Data Penggunaan Anggaran Kecamatan/Kelurahan di DKI Jakarta
17,410,Bangunan tanpa IMB di Kelapa Gading
18,410,Pertanyaan mengenai Besar Dana BOS untuk Murid Sekolah Dasar
19,25,"Pengurusan KK dan KTP Lama, Urusan Penduduk OKU Selatan, Sumatera Selatan Terhambat"
20,25,Pemutusan Sepihak Tunjangan Khusus Guru di SMP Negeri 2 Daha Selatan
21,25,Kesalahan Data Menyulitkan Perpanjangan KTP Warga
22,25,Saran Penambahan Jembatan Penyeberangan di Stasiun Juanda
23,25,Ganti Rugi Lahan Belum Dibayarkan PT Pembangunan Jaya Ancol
24,130,Biaya Pencatatan Pernikahan Berbeda dengan Ketentuan
25,130,"Indikasi Air Tercemar di Lingkungan Tegal Alur, Jakarta"
26,27,Parkir Liar Di Jalan Roxy Mas
27,377,Informasi Posisi Stasiun di dalam Kereta Commuter Line
28,14,"Belum Ada Listrik di Desa Bakustulama, Kab. Belu, Karena PLN Takut Merugi"
29,2,Membangun Gedung di Atas Lahan Pemkot
30,2,"Banjir Jakarta - Jalan Pulo besar 3, Kelurahan Sunter Jaya, Kecamatan Tanjung Priok. Logistik"
31,410,Banjir Jakarta - kelurahan Semper Barat
32,25,Kemana Uang Pungutan Pajak Restoran dan Cafe ilegal?
33,25,"Sertifikat Tanah Belum Selesai di Kantor Pertanahan Kabupaten Cibinong, Bogor"
34,25,Tumpukan Sampah di Stasiun Depok Lama
35,25,LCD Gedung Kementerian Perdagangan Tidak Berfungsi
36,2,Pertanyaan mengenai Mekanisme Pengawasan Kualitas Bangunan
37,17,Pengurusan Perizinan dalam Perubahan Nama Perusahaan
38,209,Listrik Sering Padam di Kabupaten Nias Utara
39,49,Permohonan Penertiban PKL di Jembatan Pasar Ikan dan di Terminal Tanjung Priok
40,85,Vaksin Cacar Tidak Tersedia di Beberapa Rumah Sakit di Jakarta
41,499,Keterlambatan Tunjangan Sertifikasi Guru di Kabupaten Kutai Barat
42,27,Antisipasi Wabah Cacar di Kota Bogor
43,27,"Masyarakat Pulau Papagarang, Kabupaten Manggarai Barat Kesulitan Memperoleh Air Bersih"
44,27,Pertanyaan Mengenai Pembelian Karet Tabung Gas 3 Kg
45,27,Pertanyaan Mengenai Kemasan Rokok
46,27,Masa Berlaku Ijin Reklame
47,27,Internship Ujian Kompetensi Dokter Indonesia Tak Kunjung Diberangkatkan
48,27,Gaji Dokter PTT di Kabupaten Asahan
49,2,Upaya Memberantas Rokok di Indonesia
50,25,"Perlunya Irigasi Persawahan di Bunguraya, Siak"
51,25,Antrian Rumah Sakit Mata Cicendo Sangat Lama
52,130,Pedagang Kaki Lima di Sekitar Jalan Masuk GOR Ragunan
53,115,Nominal Iuran BPJS Kesehatan Lebih Besar Dari Ketentuan
54,394,Tidak Dapat Cetak e-ID BPJS Kesehatan
55,2,Harga Gas 3 Kg Mencapai Rp. 20.000 di Pontianak
56,27,Lampu PJU Tidak di Nyalakan Setelah di Perbaiki
57,196,Aktivasi e-ID BPJS Kesehatan Bermasalah
58,196,Keberatan dengan aktifitas PT. Baja Satya Pratama
59,1,Link Pencetakan e-ID BPJS Kesehatan Tidak Muncul
60,1,Rincian Data BPS tentang Jumlah Sekolah di Kab. Solok
61,196,Saklar Listrik Di Perpustakaan Daerah Kuningan Perlu Ditambah
62,410,Jalan Rusak di Jalan Dr Soepomo Tebet
63,27,Adakah Batasan Usia Untuk Pendaftaran Peserta BPJS Kesehatan?
64,28,PERMOHONAN PERBAIKAN Jl. AIS NAS BOJONEGORO
65,85,Gajah Taman Nasional Way Kambas Merusak Tanaman Padi di Desa Tambah Dadi
66,28,Sekitar Pembangunan Bandung Teknopolis
67,2,Banyak Kotoran Kuda di Jalan Banjarjo RT 19 Bojonegoro
68,2,Padamnya Lampu Penerangan Jalan Raya Kamal Outer Ring Road Cengkareng
69,53,E-KTP Tidak Kunjung Dicetak Namun Harus Membayar Rp. 200.000 Untuk Pencetakannya
70,28,"Rusaknya Jalan di Jalan Utan Jati, Kalideres Jakarta Barat"
71,28,Pembuatan surat kematian kel Margasari Kec Buah Batu
72,28,Tetap Diminta Pajak Bandara Padahal Tiket Penerbangan Sudah Termasuk Pajak
73,28,Pengurusan Sertifikat di BPN Majalengka Tidak Kunjung Selesai
74,28,PJU di Jalan Balai Pustaka II Rawamangun Tidak Berfungsi
75,25,Babinsa Menguasai Taman Flexi
76,25,Permohonan NPIK TPT melalui Hak Akses Inatrade
77,25,Pencemaran Lingkungan Yang Menyebabkan Jalan Kotor
78,25,Website BPJS Ketenagakerjaan Tidak Bisa Diakses
79,247,Pengurusan Permohonan SK Pelepasan Hak Tanah Tidak Kunjung Selesai
80,27,Pabrik Tahu Mencemari Lingkungan Sekitar
81,27,Informasi Penyandang Disabilitas pada BUMN
82,28,Aktivasi Pendaftaran BPJS Kesehatan yang Tertunda
83,28,Prosedur Penggunaan BPJS Kesehatan di Luar Kota
84,25,Apakah Sistem Online BPJS Kesehatan Sedang Mengalami Kerusakan?
85,27,Prosedur dan Pengawasan Penanaman Modal Asing di Simeulue
86,28,RS Kanker Dharmais Perlu Penambahan Fasilitas
87,27,Penerbitan Izin Jamu Dikembalikan Ke Dinas Kesehatan
88,27,Syarat Memperoleh Surat Kematian
89,27,Peralihan Kepesertaan Anak PPU Usia di Atas 21 Tahun
90,27,"Traffic Light Perempatan Ds. Ngumpakdalem, Kec. Dander Tidak Berfungsi"
91,27,Permintaan Informasi terkait data PDRB Kecamatan pada kota Jambi Tahun 2010-2014
92,7,"JALAN POROS DESA SENDANGREJO KEC. DANDER, RUSAK"
93,28,Air Pam Mati Tolal di Pejaten Barat
94,549,Masih Adanya Parkir Liar Kendaraan di Jl. Petak 9
95,410,Kepesertaan Tidak Aktif
96,21,Pengiriman Barang Melalui EMS Belum Juga Tiba
97,196,Peternakan ayam potong di tengah permukiman masyarakat
98,2,Proese Pendaftaran Melalui Website BPJS Kesehatan
99,856,Kepengurusan Surat Keterangan Impor Bahan Kimia
100,856,Pengawasan Pengurusan Prona Oleh DPRD Kabupaten Bekasi
101,28,Barang Belum Sampai Dari 3 Minggu Yang Lalu
102,28,Kami Butuh Perpustakaan
103,526,Kritik Terhadap BPN Terkait Pelayanan dan Banyaknya Calo
104,526,Sudah membayar tunggakan tapi masih ditagihkan
105,526,Paket Kiriman Tertahan di Bea Cukai Bandung
106,28,"PEMBUATAN KTP DI KEC. KAPAS, LAMA"
107,28,Pusat Rosokan Berdampak Pada Lingkungan Sekitar
108,2,DANA HIBAH TPA/ TPQ
109,27,Apakah Akta Kelahiran Dapat Digantikan Dengan Buku Nikah/Ijazah Dalam Pembuatan Paspor?
110,27,Paket Kiriman Pos Belum Diterima Padahal Status Terakhir Adalah Final Delivery
111,27,Bau Kotoran Sapi Yang Menggangu
112,197,Pencemaran Lingkungan Menganggu Ketenangan Warga
113,25,Pelayanan di Kantor Pos Masih Mengecewakan
114,25,Perawatan Air Waduk Pacal dan Alun-alun
115,25,Apa Ada Bantuan Modal Untuk Peternak Kecil ?
116,25,"Kartu Keluarga Tak Kunjung Jadi di Kecamatan Babat, Jawa Timur"
117,25,PERMINTAAN TONG DI PU
118,25,Informasi Prosedur Pengukuran Tanah
119,25,Paket Kiriman Pos Tertahan di Kantor MPC Jakarta
120,25,Perpanjangan Paspor di KBRI UAE
121,656,Tinjau ulang semua izin usahanya
122,394,Paket Kiriman Pos Tidak Dapat Diteruskan Karena Masalah Registrasi Isi Paket
123,458,Nomer pengaduan tidak berfungsi
124,2,Benahi taman dan parkir di Taman Tegallega
125,59,Tidak Bisa Mencetak E-ID
126,14,Mohon Perbaikan Trotoar yang Ambles
127,115,Tagihan Iuran Tidak Sesuai
128,803,Pembatasan Nomor Antrian di BPJS Kesehatan
129,28,Rumah Susun tidak Tepat Sasaran
130,25,Tidak Punya Rekening Saat Mendaftar Online
131,25,Puas dengan Pelayanan Kanim Jakut
132,25,Kesulitan Konfirmasi Kode Bank dalam Registrasi Paspor Online
133,266,Jalan Berlubang dan Tidak Ada Penerangan
134,2,Jemaah Umroh
135,76,"Pipa PDAM Bocor, Mohon Segera Di Tangani"
136,377,Status Pengiriman Pos Belum Diantar
137,2,Pelayanan Kesehatan Menggunakan BPJS Kesehatan
138,114,BAGAIMANA CARANYA IZIN USAHA
139,394,PJU MATI
140,17,Double Tagihan
141,115,Kebijakan Eksklusif PLN
142,17,Sertifikat Tanah Belum Keluar
143,28,Pemulihan Nama di BI
144,28,Air PALYJA Tidak Pernah Lagi Berjalan Normal
145,3,Jalan Rusak di Jl. Taman S. Parman
146,394,Berkas Sertifikat Tanah Hilang di BPN
147,115,perpanjang paspor di minta lampirkan sbkri
148,115,PENOLAKAN KLAIM LANGSUNG
149,410,Paspor 24 halaman untuk umroh
150,68,Dana Operasional Pengurus Raskin
151,126,Link Aktivasi Sulit Dibuka
152,126,Menonaktifkan Kepesertaan BPJS Mandiri karena Mendapatkan KIS
153,49,Pengembangan Situs Budaya Mandiangin
154,269,Pelayanan E-KTP Di Kel. Ciracas
155,462,"Sertifikat Tanah Belum Selesai, Melebihi Ketentuan Waktu Standar Pelayanan"
156,2,Apakan Bojonegoro Memiliki Perangkat Hukum Pengelolaan Pengaduan?
