interaction,content_id,person_id
VIEW,1286,1
VIEW,1274,2
VIEW,1307,3
FOLLOW,1307,4
VIEW,1311,5
VIEW,1307,6
VIEW,1303,7
VIEW,1310,8
VIEW,1307,4
VIEW,1308,7
VIEW,1307,7
VIEW,722,9
VIEW,722,9
VIEW,720,9
VIEW,1246,10
VIEW,1234,11
VIEW,1141,11
VIEW,1311,5
VIEW,1304,12
VIEW,618,9
VIEW,1307,3
VIEW,1199,11
VIEW,1310,8
VIEW,1307,6
VIEW,1159,11
BOOKMARK,1307,7
VIEW,720,9
BOOKMARK,1307,6
VIEW,1310,7
VIEW,1306,13
VIEW,1308,7
VIEW,1309,7
VIEW,1307,7
LIKE,618,9
VIEW,1286,1
VIEW,1304,12
LIKE,1307,7
BOOKMARK,1307,4
VIEW,618,9
VIEW,1303,7
LIKE,1307,4
VIEW,1311,14
VIEW,1310,7
LIKE,1307,6
VIEW,1310,15
VIEW,1058,16
VIEW,1306,13
VIEW,1159,11
VIEW,1310,15
VIEW,1058,16
VIEW,1311,14
VIEW,1309,7
VIEW,1307,4
VIEW,1274,2
VIEW,1246,10
VIEW,1199,11
LIKE,1310,7
VIEW,1388,17
VIEW,1388,17
VIEW,1412,7
VIEW,1388,17
COMMENT CREATED,1388,17
COMMENT CREATED,1388,17
VIEW,1413,18
VIEW,1388,17
VIEW,1413,18
VIEW,1388,2
VIEW,1388,2
VIEW,1388,17
FOLLOW,1388,17
VIEW,1412,7
COMMENT CREATED,1388,2
VIEW,1388,17
LIKE,374,19
VIEW,376,19
VIEW,255,20
VIEW,378,21
VIEW,374,19
FOLLOW,380,14
VIEW,380,22
VIEW,358,23
VIEW,374,19
VIEW,374,19
VIEW,380,14
VIEW,305,24
VIEW,98,20
VIEW,376,19
VIEW,334,25
VIEW,141,20
VIEW,380,26
VIEW,388,27
VIEW,64,28
VIEW,380,14
VIEW,389,29
VIEW,380,30
VIEW,375,21
LIKE,376,19
VIEW,395,27
VIEW,388,27
VIEW,334,25
VIEW,359,31
VIEW,380,14
VIEW,380,14
VIEW,374,21
VIEW,376,21
VIEW,373,21
VIEW,380,14
BOOKMARK,359,31
VIEW,395,28
VIEW,386,27
VIEW,377,21
VIEW,380,21
VIEW,388,27
VIEW,380,32
VIEW,336,19
VIEW,372,21
VIEW,358,14
VIEW,380,27
VIEW,209,33
VIEW,394,27
VIEW,372,26
VIEW,366,34
COMMENT CREATED,334,25
VIEW,358,14
COMMENT CREATED,358,14
VIEW,956,35
VIEW,949,27
VIEW,968,27
COMMENT CREATED,968,36
VIEW,968,36
VIEW,965,27
LIKE,968,36
VIEW,486,37
VIEW,564,38
VIEW,579,39
VIEW,578,40
VIEW,578,40
VIEW,572,41
VIEW,486,37
VIEW,525,42
VIEW,438,43
VIEW,579,44
VIEW,438,12
VIEW,572,45
VIEW,572,46
VIEW,572,47
VIEW,499,44
LIKE,572,47
VIEW,571,48
VIEW,477,43
LIKE,477,43
VIEW,551,14
LIKE,579,39
VIEW,1332,49
VIEW,1370,50
VIEW,1367,51
VIEW,1262,52
VIEW,1322,21
VIEW,1236,52
VIEW,1371,53
VIEW,1367,52
VIEW,1066,2
VIEW,1332,49
VIEW,1362,54
VIEW,1281,55
VIEW,1318,11
VIEW,1367,51
LIKE,1370,50
VIEW,1368,56
VIEW,1367,57
VIEW,1284,49
VIEW,1370,50
VIEW,1268,52
VIEW,1066,2
VIEW,1367,2
VIEW,1347,58
LIKE,1369,59
VIEW,1318,11
BOOKMARK,1268,52
LIKE,1268,52
VIEW,237,60
VIEW,1298,61
VIEW,1358,62
LIKE,1344,63
VIEW,1368,64
VIEW,1284,49
VIEW,1335,65
VIEW,237,60
VIEW,1334,65
VIEW,1367,52
VIEW,1367,57
VIEW,1262,52
VIEW,1294,65
VIEW,970,66
VIEW,1335,65
VIEW,1368,56
VIEW,1318,11
VIEW,1371,53
VIEW,1334,65
LIKE,1332,49
VIEW,1367,2
LIKE,1284,49
VIEW,1298,61
VIEW,1358,62
BOOKMARK,1236,52
VIEW,1362,54
VIEW,1318,63
VIEW,1268,52
VIEW,1347,58
VIEW,1281,55
VIEW,1101,67
VIEW,1100,1
VIEW,1096,68
VIEW,1097,69
VIEW,950,45
VIEW,766,2
VIEW,1096,70
VIEW,1102,2
VIEW,1100,71
VIEW,1096,21
LIKE,1096,70
VIEW,1056,67
VIEW,1102,21
LIKE,1074,71
VIEW,1101,72
VIEW,1074,71
VIEW,440,71
VIEW,1093,73
VIEW,1102,74
VIEW,1097,69
VIEW,1134,75
VIEW,1134,2
VIEW,54,62
VIEW,113,76
VIEW,122,77
VIEW,112,78
VIEW,113,79
LIKE,122,79
VIEW,63,76
LIKE,112,78
VIEW,107,80
VIEW,101,1
VIEW,122,79
VIEW,97,81
VIEW,122,76
VIEW,103,79
LIKE,971,82
VIEW,960,83
VIEW,961,83
LIKE,973,84
VIEW,972,76
VIEW,972,27
VIEW,973,84
VIEW,968,85
VIEW,965,82
COMMENT CREATED,971,27
VIEW,971,27
FOLLOW,973,84
VIEW,973,84
FOLLOW,971,27
VIEW,971,82
LIKE,968,85
VIEW,484,86
LIKE,484,86
VIEW,553,86
VIEW,794,87
VIEW,792,88
LIKE,792,89
VIEW,793,87
VIEW,792,87
VIEW,786,90
VIEW,792,91
VIEW,793,90
VIEW,798,92
COMMENT CREATED,792,89
VIEW,770,93
LIKE,798,92
FOLLOW,786,90
VIEW,792,88
VIEW,792,94
FOLLOW,786,90
LIKE,798,94
VIEW,798,95
VIEW,798,96
VIEW,792,88
VIEW,794,93
VIEW,792,88
LIKE,792,88
VIEW,792,97
VIEW,795,92
VIEW,786,98
VIEW,798,94
VIEW,792,89
VIEW,301,88
VIEW,1257,61
VIEW,1257,61
VIEW,492,21
VIEW,506,99
VIEW,438,100
VIEW,498,101
VIEW,506,102
VIEW,258,103
BOOKMARK,518,2
BOOKMARK,496,43
VIEW,438,104
VIEW,507,53
VIEW,493,101
LIKE,496,43
VIEW,493,105
VIEW,496,43
VIEW,518,100
VIEW,518,2
VIEW,500,27
VIEW,517,53
VIEW,501,21
VIEW,479,106
VIEW,518,100
VIEW,467,28
VIEW,493,105
VIEW,1402,10
VIEW,1393,73
VIEW,1410,107
VIEW,1402,73
VIEW,1395,73
VIEW,1359,108
VIEW,1407,109
VIEW,1402,10
VIEW,1401,91
VIEW,1276,73
VIEW,1410,92
VIEW,1410,110
LIKE,1410,111
VIEW,1389,73
VIEW,1407,112
VIEW,1408,73
VIEW,1389,73
VIEW,1408,73
VIEW,1344,73
VIEW,1408,113
VIEW,1409,114
VIEW,1402,73
VIEW,1349,73
VIEW,1396,115
VIEW,1402,116
VIEW,1410,110
VIEW,1408,114
VIEW,1407,117
VIEW,1408,113
VIEW,1410,92
VIEW,1410,111
VIEW,1294,118
VIEW,1359,108
VIEW,1390,73
LIKE,1408,114
LIKE,1397,28
VIEW,1407,73
VIEW,1409,53
VIEW,1396,73
VIEW,1408,119
VIEW,1407,120
VIEW,1396,73
VIEW,1409,53
VIEW,1342,73
VIEW,1179,121
VIEW,1407,120
VIEW,1378,73
VIEW,1407,112
VIEW,1398,73
VIEW,1407,20
VIEW,1397,28
